SHERRY Nick,Refund of hire car costs from Devonport to Hobart between,,19/06/2011,20/06/2011,-$112.00,,http://www.finance.gov.au/sites/default/files/P34_SHERRY_Nick.pdf
ENTSCH Warren,Horn Island,Thursday Island,29/11/2011,,$45.45,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
ENTSCH Warren,Thursday Island,Horn Island,01/12/2011,,,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
ENTSCH Warren,Thursday Island,Horn Island,16/05/2012,,$22.73,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
ENTSCH Warren,Horn Island,,16/05/2012,,$227.27,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
FERGUSON Martin,Ceduna,Adelaide,08/09/2012,,-$366.15,"<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_FERGUSON_Martin.pdf
FERGUSON Martin,Ceduna,Adelaide,08/09/2012,,-$127.15,"<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_FERGUSON_Martin.pdf
CHESTER Darren,Bairnsdale,Canberra,26/11/2012,,-$578.98,Refund,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf
CHESTER Darren,Canberra,Bairnsdale,29/11/2012,,,,http://www.finance.gov.au/sites/default/files/P34_CHESTER_Darren.pdf
CROOK Tony,Albany,Perth,14/01/2013,,$475.04,,http://www.finance.gov.au/sites/default/files/P34_CROOK_Tony.pdf
MOORE Claire,Rockhampton,,17/01/2013,18/01/2013,$231.04,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
THISTLETHWAITE Matt0,Orange,,25/01/2013,,$70.07,,http://www.finance.gov.au/sites/default/files/P34_THISTLETHWAITE_Matt0.pdf
MACDONALD Ian,Brisbane,,29/01/2013,30/01/2013,$146.02,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
COULTON Mark,Inverell,Canberra,10/02/2013,,"$3,318.18",,http://www.finance.gov.au/sites/default/files/P34_COULTON_Mark.pdf
MACDONALD Ian,Cairns,,14/02/2013,15/02/2013,$118.54,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
MCLUCAS Jan,Cairns,Bowen,22/02/2013,,$250.00,,http://www.finance.gov.au/sites/default/files/P34_MCLUCAS_Jan.pdf
MCLUCAS Jan,Cairns,Bowen,22/02/2013,,"$4,490.00",,http://www.finance.gov.au/sites/default/files/P34_MCLUCAS_Jan.pdf
MCLUCAS Jan,Bowen,Cairns,22/02/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MCLUCAS_Jan.pdf
MCLUCAS Jan,Bowen,Cairns,22/02/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MCLUCAS_Jan.pdf
FIERRAVANTI-WELLS Concetta,Albury,,24/02/2013,,$65.71,,http://www.finance.gov.au/sites/default/files/P35_FIERRAVANTI-WELLS_Concetta.pdf
BURKE Tony,Cairns,Lockhart River,27/02/2013,,"$28,562.18",,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Lockhart River,Weipa,27/02/2013,,,,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Weipa,Laura,28/02/2013,,"-$2,810.93","<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Laura,,28/02/2013,,"$5,621.85",,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Laura,,28/02/2013,,,"<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Laura,Cairns,28/02/2013,,,"<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Weipa,Laura,28/02/2013,,,,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Laura,,28/02/2013,,,,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
BURKE Tony,Laura,Cairns,28/02/2013,,,,http://www.finance.gov.au/sites/default/files/P34_BURKE_Tony.pdf
PRATT Louise,Kununurra,,01/03/2013,03/03/2013,$259.44,,http://www.finance.gov.au/sites/default/files/P34_PRATT_Louise.pdf
JOYCE Barnaby0,Brisbane,Toowoomba,01/03/2013,,$875.00,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf
JOYCE Barnaby0,Toowoomba,St George,01/03/2013,,,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf
MCKENZIE Bridget,Horsham,,06/03/2013,,"$1,545.45",,http://www.finance.gov.au/sites/default/files/P34_MCKENZIE_Bridget.pdf
SCOTT Bruce,Brisbane,Roma,21/03/2013,,"-$3,260.00",Refund,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf
MACDONALD Ian,Rockhampton,,22/03/2013,24/03/2013,$199.44,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
BRANDIS George,Rockhampton,,23/03/2013,24/03/2013,$172.76,,http://www.finance.gov.au/sites/default/files/P34_BRANDIS_George.pdf
KELLY Mike,Merimbula,,05/04/2013,,$77.00,,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
KELLY Mike,Moruya,,08/04/2013,,$69.72,,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
SNOWDON Warren,Groote Eylandt,Numbulwar,09/04/2013,,$881.82,,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf
SNOWDON Warren,Numbulwar,Ngukurr,09/04/2013,,,,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf
SNOWDON Warren,Ngukurr,Groote Eylandt,09/04/2013,,,,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf
RUSTON Anne,Broome,Fitzroy Crossing,10/04/2013,,"$2,053.33",,http://www.finance.gov.au/sites/default/files/P34_RUSTON_Anne.pdf
POLLEY Helen,Launceston,Hobart,10/04/2013,,"$3,150.00",,http://www.finance.gov.au/sites/default/files/P34_POLLEY_Helen.pdf
LUDWIG Joe,Tamworth,Toowoomba,11/04/2013,,"$4,400.00",,http://www.finance.gov.au/sites/default/files/P34_LUDWIG_Joe.pdf
SCOTT Bruce,Roma,Cloncurry,11/04/2013,,"$7,895.00",,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf
SCOTT Bruce,Cloncurry,Roma,11/04/2013,,,,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf
SIEWERT Rachel,Broome,,12/04/2013,,"$1,395.00",,http://www.finance.gov.au/sites/default/files/P34_SIEWERT_Rachel.pdf
MCKENZIE Bridget,Melbourne,,13/04/2013,,"$1,195.45",,http://www.finance.gov.au/sites/default/files/P34_MCKENZIE_Bridget.pdf
LUDLAM Scott,Perth,,19/04/2013,22/04/2013,$174.00,,http://www.finance.gov.au/sites/default/files/P34_LUDLAM_Scott.pdf
GRAY Gary,Adelaide,,01/05/2013,,"$25,830.00",,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf
FORREST John,Swan Hill,Canberra,12/05/2013,,"$2,868.18",,http://www.finance.gov.au/sites/default/files/P34_FORREST_John.pdf
COULTON Mark,Warialda,Canberra,13/05/2013,,"$1,659.09",,http://www.finance.gov.au/sites/default/files/P34_COULTON_Mark.pdf
MACDONALD Ian,Brisbane,Coolangatta,31/05/2013,02/06/2013,$272.09,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
SCULLION Nigel,Alice Springs,,05/06/2013,06/06/2013,$170.91,,http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf
SNOWDON Warren,Darwin,,08/06/2013,,"$3,454.55",,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf
MACDONALD Ian,Hervey Bay,Brisbane,09/06/2013,13/06/2013,$640.20,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
WATERS Larissa,Gladstone,,10/06/2013,,"$2,730.00",,http://www.finance.gov.au/sites/default/files/P34_WATERS_Larissa.pdf
MACDONALD Ian,Mount Isa,,13/06/2013,14/06/2013,$243.62,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
BOSWELL Ronald,Cairns,,14/06/2013,,$68.44,,http://www.finance.gov.au/sites/default/files/P35_BOSWELL_Ronald.pdf
HOGG John,Hervey Bay,Bundaberg,14/06/2013,,$174.47,,http://www.finance.gov.au/sites/default/files/P34_HOGG_John.pdf
URQUHART Anne,Devonport,Hobart,15/06/2013,16/06/2013,$178.50,,http://www.finance.gov.au/sites/default/files/P34_URQUHART_Anne.pdf
LEY Sussan,Canberra,Albury,20/06/2013,,"$1,881.82",,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf
HAASE Barry,Geraldton,,21/06/2013,,$103.59,,http://www.finance.gov.au/sites/default/files/P34_HAASE_Barry.pdf
COULTON Mark,Warialda,Canberra,23/06/2013,,"$1,659.09",,http://www.finance.gov.au/sites/default/files/P34_COULTON_Mark.pdf
LEY Sussan,Canberra,Albury,28/06/2013,,$940.91,,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf
MIRABELLA Sophie,Canberra,Albury,28/06/2013,,$940.91,,http://www.finance.gov.au/sites/default/files/P34_MIRABELLA_Sophie.pdf
COULTON Mark,Canberra,Warialda,28/06/2013,,"$1,659.09",,http://www.finance.gov.au/sites/default/files/P34_COULTON_Mark.pdf
ENTSCH Warren,Horn Island,Thursday Island,30/06/2013,,$245.45,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
ENTSCH Warren,Thursday Island,,30/06/2013,02/07/2013,,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
BACK Chris,Kalgoorlie,,01/07/2013,02/07/2013,$115.82,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
ENTSCH Warren,Thursday Island,Horn Island,02/07/2013,,,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
GRAY Gary,Warrnambool,,03/07/2013,,$112.72,,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf
HEFFERNAN Bill,Griffith,Mildura,03/07/2013,,"$1,555.84",,http://www.finance.gov.au/sites/default/files/P34_HEFFERNAN_Bill.pdf
MADIGAN John,Canberra,Griffith,03/07/2013,,"$1,555.84",,http://www.finance.gov.au/sites/default/files/P34_MADIGAN_John.pdf
COLBECK Richard,Canberra,Griffith,03/07/2013,,"$2,593.07",,http://www.finance.gov.au/sites/default/files/P34_COLBECK_Richard.pdf
COLBECK Richard,Griffith,Mildura,03/07/2013,,,,http://www.finance.gov.au/sites/default/files/P34_COLBECK_Richard.pdf
MADIGAN John,Griffith,Mildura,03/07/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MADIGAN_John.pdf
LEY Sussan,Broken Hill,,04/07/2013,05/07/2013,$64.56,,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf
HEFFERNAN Bill,Mildura,Canberra,04/07/2013,,,,http://www.finance.gov.au/sites/default/files/P34_HEFFERNAN_Bill.pdf
COLBECK Richard,Mildura,Canberra,04/07/2013,,,,http://www.finance.gov.au/sites/default/files/P34_COLBECK_Richard.pdf
HAASE Barry,Broome,,05/07/2013,06/07/2013,$154.64,,http://www.finance.gov.au/sites/default/files/P34_HAASE_Barry.pdf
CORMANN Mathias0,Broome,,05/07/2013,07/07/2013,$197.23,,http://www.finance.gov.au/sites/default/files/P34_CORMANN_Mathias0.pdf
MACDONALD Ian,Cairns,,06/07/2013,08/07/2013,$341.98,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
JOYCE Barnaby0,Roma,,07/07/2013,08/07/2013,$341.44,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf
LUDLAM Scott,Geraldton,,09/07/2013,10/07/2013,$72.20,,http://www.finance.gov.au/sites/default/files/P34_LUDLAM_Scott.pdf
PRATT Louise,Geraldton,,09/07/2013,10/07/2013,$81.46,,http://www.finance.gov.au/sites/default/files/P35_PRATT_Louise.pdf
WHISH-WILSON Peter,King Island,,10/07/2013,,$78.18,,http://www.finance.gov.au/sites/default/files/P34_WHISH-WILSON_Peter.pdf
JOYCE Barnaby0,Coolangatta,Underwood,10/07/2013,11/07/2013,$114.86,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf
WATERS Larissa,Cairns,,10/07/2013,12/07/2013,$178.50,,http://www.finance.gov.au/sites/default/files/P34_WATERS_Larissa.pdf
MACDONALD Ian,Mackay,,11/07/2013,12/07/2013,$87.53,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
BACK Chris,Albany,,11/07/2013,12/07/2013,$95.23,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
BACK Chris,Kalgoorlie,,11/07/2013,,$97.28,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
BOYCE Sue,Townsville,,13/07/2013,14/07/2013,$75.32,,http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf
CROOK Tony,Albany,,16/07/2013,18/07/2013,$154.24,,http://www.finance.gov.au/sites/default/files/P34_CROOK_Tony.pdf
LEY Sussan,Broken Hill,,16/07/2013,18/07/2013,$240.77,,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf
MACDONALD Ian,Cairns,,17/07/2013,18/07/2013,$105.38,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf
EGGLESTON Alan,Port Hedland,,17/07/2013,18/07/2013,$190.19,,http://www.finance.gov.au/sites/default/files/P35_EGGLESTON_Alan.pdf
EGGLESTON Alan,Broome,,18/07/2013,19/07/2013,$74.21,,http://www.finance.gov.au/sites/default/files/P35_EGGLESTON_Alan.pdf
SIEWERT Rachel,Broome,,18/07/2013,,"$1,581.82",,http://www.finance.gov.au/sites/default/files/P35_SIEWERT_Rachel.pdf
PARRY Stephen,Launceston,,19/07/2013,20/07/2013,$174.17,,http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf
BOYCE Sue,Brisbane,Rockhampton,19/07/2013,24/07/2013,$829.70,,http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf
JOYCE Barnaby0,Brisbane,,21/07/2013,22/07/2013,$200.50,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby0.pdf
BACK Chris,Kalgoorlie,,22/07/2013,23/07/2013,$107.59,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
ENTSCH Warren,Horn Island,,22/07/2013,25/07/2013,$354.55,,http://www.finance.gov.au/sites/default/files/P34_ENTSCH_Warren.pdf
NASH Fiona,Sydney,,23/07/2013,25/07/2013,$238.82,,http://www.finance.gov.au/sites/default/files/P34_NASH_Fiona.pdf
LUDLAM Scott,Albany,Perth,24/07/2013,27/07/2013,$542.83,,http://www.finance.gov.au/sites/default/files/P34_LUDLAM_Scott.pdf
FITZGIBBON Joel,Shepparton,Warrnambool,25/07/2013,,"$3,745.45",,http://www.finance.gov.au/sites/default/files/P34_FITZGIBBON_Joel.pdf
COLLINS Julie,Launceston,Hobart,25/07/2013,,"$7,250.00",,http://www.finance.gov.au/sites/default/files/P34_COLLINS_Julie.pdf
FITZGIBBON Joel,Warrnambool,Melbourne Essendon Airport,25/07/2013,,,,http://www.finance.gov.au/sites/default/files/P34_FITZGIBBON_Joel.pdf
GRAY Gary,Sydney,Karratha,26/07/2013,,"$54,570.00",,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf
BUSHBY David,Hobart,,28/07/2013,29/07/2013,$139.78,,http://www.finance.gov.au/sites/default/files/P34_BUSHBY_David.pdf
LUDLAM Scott,Perth,,29/07/2013,30/07/2013,$130.41,,http://www.finance.gov.au/sites/default/files/P34_LUDLAM_Scott.pdf
HOGG John,Longreach,Emerald,29/07/2013,30/07/2013,$701.62,,http://www.finance.gov.au/sites/default/files/P34_HOGG_John.pdf
GRAY Gary,Darwin,Uluru,30/07/2013,,"$10,692.73",,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf
GRAY Gary,Uluru,Darwin,31/07/2013,,,,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf
HOGG John,Bundaberg,,01/08/2013,,$54.41,,http://www.finance.gov.au/sites/default/files/P34_HOGG_John.pdf
KELLY Mike,Merimbula,,01/08/2013,,$90.90,,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
NASH Fiona,Young,Parkes,01/08/2013,02/08/2013,$358.78,,http://www.finance.gov.au/sites/default/files/P34_NASH_Fiona.pdf
GALLACHER Alex,Adelaide,,04/08/2013,12/08/2013,"$1,480.83",,http://www.finance.gov.au/sites/default/files/P34_GALLACHER_Alex.pdf
PARRY Stephen,Launceston,Hobart,05/08/2013,06/08/2013,$209.10,,http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf
BACK Chris,Kalgoorlie,,06/08/2013,08/08/2013,$237.19,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
MACDONALD Ian,Boulia,Mount Isa,08/08/2013,,$77.45,,http://www.finance.gov.au/sites/default/files/P35_MACDONALD_Ian.pdf
MACKLIN Jenny,Cairns,Gove,09/08/2013,,"$14,320.00",,http://www.finance.gov.au/sites/default/files/P34_MACKLIN_Jenny.pdf
MACKLIN Jenny,Gove,Cairns,09/08/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MACKLIN_Jenny.pdf
KELLY Mike,Merimbula,,13/08/2013,,$81.72,,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
EGGLESTON Alan,Port Hedland,,13/08/2013,14/08/2013,$111.45,,http://www.finance.gov.au/sites/default/files/P35_EGGLESTON_Alan.pdf
KELLY Mike,Canberra,Merimbula,13/08/2013,,"$2,736.36",,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
KELLY Mike,Merimbula,Canberra,13/08/2013,,,,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
MCEWEN Anne,Mount Gambier,,14/08/2013,15/08/2013,$211.89,,http://www.finance.gov.au/sites/default/files/P34_MCEWEN_Anne.pdf
BACK Chris,Kalgoorlie,,15/08/2013,16/08/2013,$126.06,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
BACK Chris,Esperance,,16/08/2013,18/08/2013,$150.08,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
PARRY Stephen,Hobart,Launceston,16/08/2013,,$152.41,,http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf
EGGLESTON Alan,Perth,Esperance,17/08/2013,,"-$2,457.00","<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf
EGGLESTON Alan,Perth,Esperance,17/08/2013,,"-$1,001.00","<i>**</i>",http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf
EGGLESTON Alan,Perth,Esperance,17/08/2013,,"-$1,001.00","<i>**</i>",http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf
FAULKNER John,Lismore,,17/08/2013,18/08/2013,$134.98,,http://www.finance.gov.au/sites/default/files/P34_FAULKNER_John.pdf
BISHOP Julie,Perth,Esperance,17/08/2013,,"$1,001.00",,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Julie.pdf
BISHOP Julie,Esperance,Perth,17/08/2013,,,,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Julie.pdf
EGGLESTON Alan,Esperance,Perth,17/08/2013,,,,http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf
EGGLESTON Alan,Esperance,Perth,17/08/2013,,,,http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf
EGGLESTON Alan,Esperance,Perth,17/08/2013,,,,http://www.finance.gov.au/sites/default/files/P34_EGGLESTON_Alan.pdf
CROSSIN Trish,Alice Springs,,18/08/2013,20/08/2013,$198.65,,http://www.finance.gov.au/sites/default/files/P34_CROSSIN_Trish.pdf
HANSON-YOUNG Sarah,Mount Gambier,,20/08/2013,,$82.66,,http://www.finance.gov.au/sites/default/files/P35_HANSON-YOUNG_Sarah.pdf
HANSON-YOUNG Sarah,Adelaide,Mount Gambier,20/08/2013,,"$8,335.45",,http://www.finance.gov.au/sites/default/files/P35_HANSON-YOUNG_Sarah.pdf
HANSON-YOUNG Sarah,Mount Gambier,Adelaide,20/08/2013,,,,http://www.finance.gov.au/sites/default/files/P35_HANSON-YOUNG_Sarah.pdf
KING Catherine,Gladstone,Thangool,21/08/2013,,"$1,230.00",,http://www.finance.gov.au/sites/default/files/P34_KING_Catherine.pdf
KING Catherine,Thangool,Gladstone,21/08/2013,,,,http://www.finance.gov.au/sites/default/files/P34_KING_Catherine.pdf
ENTSCH Warren,Thursday Island,Horn Island,22/08/2013,,$20.45,,http://www.finance.gov.au/sites/default/files/P35_ENTSCH_Warren.pdf
PRATT Louise,Geraldton,,22/08/2013,23/08/2013,$66.34,,http://www.finance.gov.au/sites/default/files/P35_PRATT_Louise.pdf
LEY Sussan,Broken Hill,Mildura,23/08/2013,24/08/2013,$571.45,,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf
BOYCE Sue,Cairns,,26/08/2013,27/08/2013,$158.90,,http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf
PARRY Stephen,Launceston,,26/08/2013,27/08/2013,$210.65,,http://www.finance.gov.au/sites/default/files/P34_PARRY_Stephen.pdf
TRUSS Warren,Sydney,Canberra,29/08/2013,,-$588.18,"<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf
TRUSS Warren,Sydney,Canberra,29/08/2013,,-$588.18,"<i>*</i>",http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf
BACK Chris,Kalgoorlie,,30/08/2013,31/08/2013,$115.79,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
BACK Chris,Albany,,31/08/2013,01/09/2013,$89.54,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
O'DOWD Ken,Rockhampton,Gladstone,31/08/2013,01/09/2013,$223.56,,http://www.finance.gov.au/sites/default/files/P34_O'DOWD_Ken.pdf
LUDLAM Scott,Perth,Margaret River,01/09/2013,,"$1,900.00",,http://www.finance.gov.au/sites/default/files/P34_LUDLAM_Scott.pdf
MOORE Claire,Horn Island,Boigu Island,03/09/2013,,"$7,850.00",,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
MOORE Claire,Boigu Island,Mabuiag Island,03/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
MOORE Claire,Mabuiag Island,Horn Island,03/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
KELLY Mike,Merimbula,,04/09/2013,,$107.19,,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
BACK Chris,Kalgoorlie,,04/09/2013,08/09/2013,$495.73,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf
KELLY Mike,Canberra,Merimbula,04/09/2013,,"$1,838.27",,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
KELLY Mike,Merimbula,Canberra,04/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_KELLY_Mike.pdf
MOORE Claire,Horn Island,Yam Island,04/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
MOORE Claire,Yam Island,Sue Island,04/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
MOORE Claire,Sue Island,Horn Island,04/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
MOORE Claire,Horn Island,Dajarra,05/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
MOORE Claire,Dajarra,Kubin Island,05/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf
EDWARDS Sean,Adelaide,Millicent,11/09/2013,,"$2,015.00",,http://www.finance.gov.au/sites/default/files/P34_EDWARDS_Sean.pdf
EDWARDS Sean,Millicent,Adelaide,11/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_EDWARDS_Sean.pdf
POLLEY Helen,Launceston,Hobart,17/09/2013,,"$2,530.00",,http://www.finance.gov.au/sites/default/files/P34_POLLEY_Helen.pdf
POLLEY Helen,Hobart,Launceston,17/09/2013,,,,http://www.finance.gov.au/sites/default/files/P34_POLLEY_Helen.pdf
RAMSEY Rowan,Whyalla,,18/09/2013,,$98.33,,http://www.finance.gov.au/sites/default/files/P34_RAMSEY_Rowan.pdf
